Context,Target,Images,Labels
"at((5, 4),_u0). at((0, 7),_u1). at((0, 0),_u2). at((7, 0),_u3). at((1, 3),_u4). at((2, 6),_u5). at((4, 2),_u6). at((4, 6),_u7). at((4, 1),_u8).",sat.,"[3, 0, 2, 1, 5, 7, 10, 21, 11]","[1, 5, 4, 0, 2, 3, 3, 0, 5]"
"at((6, 3),_u0). at((0, 4),_u1). at((7, 5),_u2). at((4, 1),_u3). at((0, 6),_u4). at((1, 2),_u5). at((4, 4),_u6).",sat.,"[16, 12, 6, 9, 35, 34, 47]","[2, 3, 1, 4, 5, 0, 5]"
"at((1, 7),_u0). at((0, 2),_u1). at((3, 3),_u2). at((7, 4),_u3). at((5, 5),_u4). at((6, 1),_u5). at((4, 0),_u6). at((7, 7),_u7). at((2, 6),_u8).",sat.,"[20, 27, 37, 65, 25, 8, 30, 100, 26]","[4, 3, 0, 5, 2, 1, 3, 5, 4]"
"at((0, 1),_u0). at((3, 2),_u1). at((4, 7),_u2). at((6, 4),_u3). at((2, 5),_u4). at((2, 1),_u5). at((4, 3),_u6). at((1, 5),_u7). at((5, 1),_u8). at((1, 7),_u9). at((7, 6),_u10).",sat.,"[44, 28, 51, 14, 132, 53, 138, 58, 56, 49, 76]","[3, 2, 0, 1, 5, 4, 5, 4, 0, 3, 2]"
"at((0, 7),_u0). at((2, 4),_u1). at((4, 6),_u2). at((6, 3),_u3). at((1, 1),_u4). at((1, 0),_u5). at((7, 5),_u6). at((1, 4),_u7). at((4, 0),_u8). at((4, 4),_u9). at((2, 6),_u10).",sat.,"[82, 60, 63, 23, 145, 50, 24, 74, 61, 173, 68]","[2, 4, 0, 1, 5, 3, 1, 3, 4, 5, 0]"
"at((0, 7),_u0). at((3, 3),_u1). at((5, 0),_u2). at((0, 4),_u3). at((6, 6),_u4). at((2, 2),_u5). at((3, 6),_u6). at((1, 1),_u7).",sat.,"[86, 175, 40, 64, 69, 109, 89, 117]","[3, 5, 1, 4, 0, 2, 4, 2]"
"at((3, 7),_u0). at((1, 2),_u1). at((4, 0),_u2). at((7, 5),_u3). at((2, 4),_u4). at((7, 0),_u5).",sat.,"[120, 75, 182, 92, 59, 98]","[2, 0, 5, 4, 1, 3]"
"at((6, 1),_u0). at((6, 2),_u1). at((5, 4),_u2). at((1, 5),_u3). at((2, 3),_u4). at((5, 7),_u5). at((4, 0),_u6). at((7, 4),_u7). at((5, 6),_u8).",sat.,"[107, 191, 81, 67, 122, 115, 143, 88, 219]","[3, 5, 0, 1, 2, 4, 2, 0, 5]"
"at((0, 7),_u0). at((3, 6),_u1). at((7, 4),_u2). at((4, 5),_u3). at((6, 6),_u4). at((5, 1),_u5). at((0, 2),_u6). at((1, 0),_u7). at((0, 4),_u8). at((7, 2),_u9).",sat.,"[236, 127, 95, 159, 111, 70, 239, 161, 131, 108]","[5, 4, 0, 2, 3, 1, 5, 2, 4, 0]"
"at((5, 0),_u0). at((1, 5),_u1). at((4, 6),_u2). at((0, 1),_u3). at((2, 4),_u4). at((4, 7),_u5). at((7, 3),_u6). at((6, 3),_u7).",sat.,"[72, 244, 139, 114, 171, 130, 142, 135]","[1, 5, 4, 0, 2, 3, 4, 3]"
