Context,Target,Images,Labels
,"-less(_u0,_u1).","[1, 21]","[0, 0]"
,"less(_u0,_u1).","[34, 3]","[0, 1]"
,"less(_u0,_u1).","[37, 5]","[0, 2]"
,"less(_u0,_u1).","[51, 7]","[0, 3]"
,"less(_u0,_u1).","[56, 2]","[0, 4]"
,"less(_u0,_u1).","[63, 0]","[0, 5]"
,"less(_u0,_u1).","[68, 13]","[0, 6]"
,"less(_u0,_u1).","[69, 15]","[0, 7]"
,"less(_u0,_u1).","[75, 17]","[0, 8]"
,"less(_u0,_u1).","[81, 4]","[0, 9]"
,"-less(_u0,_u1).","[6, 88]","[1, 0]"
,"-less(_u0,_u1).","[8, 14]","[1, 1]"
,"less(_u0,_u1).","[23, 16]","[1, 2]"
,"less(_u0,_u1).","[24, 10]","[1, 3]"
,"less(_u0,_u1).","[40, 9]","[1, 4]"
,"less(_u0,_u1).","[59, 11]","[1, 5]"
,"less(_u0,_u1).","[67, 18]","[1, 6]"
,"less(_u0,_u1).","[70, 29]","[1, 7]"
,"less(_u0,_u1).","[72, 31]","[1, 8]"
,"less(_u0,_u1).","[77, 19]","[1, 9]"
,"-less(_u0,_u1).","[25, 95]","[2, 0]"
,"-less(_u0,_u1).","[28, 78]","[2, 1]"
,"-less(_u0,_u1).","[76, 82]","[2, 2]"
,"less(_u0,_u1).","[109, 12]","[2, 3]"
,"less(_u0,_u1).","[117, 20]","[2, 4]"
,"less(_u0,_u1).","[120, 35]","[2, 5]"
,"less(_u0,_u1).","[122, 32]","[2, 6]"
,"less(_u0,_u1).","[143, 38]","[2, 7]"
,"less(_u0,_u1).","[159, 41]","[2, 8]"
,"less(_u0,_u1).","[161, 22]","[2, 9]"
,"-less(_u0,_u1).","[27, 108]","[3, 0]"
,"-less(_u0,_u1).","[30, 99]","[3, 1]"
,"-less(_u0,_u1).","[44, 171]","[3, 2]"
,"-less(_u0,_u1).","[49, 50]","[3, 3]"
,"less(_u0,_u1).","[74, 26]","[3, 4]"
,"less(_u0,_u1).","[86, 47]","[3, 5]"
,"less(_u0,_u1).","[98, 36]","[3, 6]"
,"less(_u0,_u1).","[107, 42]","[3, 7]"
,"less(_u0,_u1).","[111, 46]","[3, 8]"
,"less(_u0,_u1).","[130, 33]","[3, 9]"
,"-less(_u0,_u1).","[53, 114]","[4, 0]"
,"-less(_u0,_u1).","[58, 102]","[4, 1]"
,"-less(_u0,_u1).","[60, 178]","[4, 2]"
,"-less(_u0,_u1).","[61, 135]","[4, 3]"
,"-less(_u0,_u1).","[64, 89]","[4, 4]"
,"less(_u0,_u1).","[92, 65]","[4, 5]"
,"less(_u0,_u1).","[115, 39]","[4, 6]"
,"less(_u0,_u1).","[127, 52]","[4, 7]"
,"less(_u0,_u1).","[131, 55]","[4, 8]"
,"less(_u0,_u1).","[139, 43]","[4, 9]"
,"-less(_u0,_u1).","[100, 118]","[5, 0]"
,"-less(_u0,_u1).","[132, 104]","[5, 1]"
,"-less(_u0,_u1).","[138, 180]","[5, 2]"
,"-less(_u0,_u1).","[145, 136]","[5, 3]"
,"-less(_u0,_u1).","[173, 142]","[5, 4]"
,"-less(_u0,_u1).","[175, 182]","[5, 5]"
,"less(_u0,_u1).","[191, 62]","[5, 6]"
,"less(_u0,_u1).","[219, 71]","[5, 7]"
,"less(_u0,_u1).","[236, 85]","[5, 8]"
,"less(_u0,_u1).","[239, 45]","[5, 9]"
,"-less(_u0,_u1).","[66, 119]","[6, 0]"
,"-less(_u0,_u1).","[73, 105]","[6, 1]"
,"-less(_u0,_u1).","[83, 187]","[6, 2]"
,"-less(_u0,_u1).","[90, 149]","[6, 3]"
,"-less(_u0,_u1).","[93, 150]","[6, 4]"
,"-less(_u0,_u1).","[106, 244]","[6, 5]"
